country_of_origin,region,harvest_year,variety,processing_method,altitude_mean_meters,total_cup_points
colombia,huila,2013,caturra,washed-wet,1775.0,82.83
mexico,la concordia,2012,caturra,washed-wet,1550.0,82.83
mexico,veracruz,2012,bourbon,washed-wet,1250.0,82.83
guatemala,oriente,2012,bourbon,washed-wet,1310.64,82.83
mexico,la concordia,2012,typica,washed-wet,1380.0,82.83
guatemala,santa rosa,,caturra,washed-wet,1100.0,82.75
guatemala,santa rosa,2017,caturra,washed-wet,1800.0,82.75
guatemala,san marcos,2017,bourbon,washed-wet,1700.0,82.75
guatemala,santa rosa,2017,bourbon,washed-wet,1219.2,82.75
guatemala,oriente,2017,bourbon,washed-wet,1219.2,82.75
taiwan,"台南市東山區( dongshan dist., tainan city)",2016,yellow bourbon,natural-dry,650.0,82.75
el salvador,cacahuatique,2017,bourbon,washed-wet,1250.0,82.75
costa rica,tarrazu,2016,caturra,washed-wet,1850.0,82.75
honduras,comayagua,2017,caturra,natural-dry,1400.0,82.75
brazil,south of minas,2015,yellow bourbon,pulped natural-honey,905.0,82.75
china,yunnan,2015,catimor,natural-dry,1100.0,82.75
china,menglian,2015,catimor,washed-wet,1500.0,82.75
colombia,huila,2014,caturra,washed-wet,1775.0,82.75
malawi,mzuzu,2014,gesha,washed-wet,1442.0,82.75
guatemala,jalapa,2014,pacas,washed-wet,1524.0,82.75
united states (hawaii),kona,2013,hawaiian kona,natural-dry,,82.75
united states (hawaii),kona,2013,hawaiian kona,natural-dry,,82.75
colombia,antioquia,2013,caturra,washed-wet,1300.0,82.75
mexico,chiapas,2013,typica,washed-wet,1550.0,82.75
mexico,veracruz,2012,typica,washed-wet,1200.0,82.75
mexico,atoyac de alvarez,2012,typica,natural-dry,1200.0,82.75
colombia,south huila,2012,caturra,washed-wet,1625.0,82.75
colombia,huila,2012,caturra,washed-wet,1775.0,82.75
united states (hawaii),kona,2012,hawaiian kona,washed-wet,,82.75
panama,boquete,2012,catuai,washed-wet,1100.0,82.75
brazil,south of minas,2017,bourbon,natural-dry,890.0,82.67
brazil,south of minas,2016,bourbon,natural-dry,934.0,82.67
laos,"paksong,laos",2015,catimor,washed-wet,1300.0,82.67
el salvador,"el balsamo, quezaltepec",2016,pacas,washed-wet,1200.0,82.67
brazil,monte carmelo,2014,catuai,natural-dry,,82.67
"tanzania, united republic of",karatu arusha,2014,other,washed-wet,1700.0,82.67
"tanzania, united republic of",mbinga,2014,bourbon,washed-wet,1550.0,82.67
taiwan,嘉義阿里山,2014,typica,washed-wet,1200.0,82.67
mexico,la yerba,2014,typica,natural-dry,1296.0,82.67
uganda,mt elgon,2013,sl14,washed-wet,1650.0,82.67
taiwan,chiayi alishan 嘉義縣阿里山鄉,2013,typica,washed-wet,1240.0,82.67
thailand,phahi,2013,caturra,washed-wet,1500.0,82.67
colombia,huila,2012,caturra,washed-wet,1800.0,82.67
el salvador,,2012,other,washed-wet,,82.67
guatemala,antigua,2012,caturra,washed-wet,1500.0,82.67
thailand,thailand,2012,other,washed-wet,,82.67
mexico,,2012,other,washed-wet,1100.0,82.67
mexico,mahuixtlan,2012,typica,washed-wet,950.0,82.67
guatemala,oriente,2017,bourbon,washed-wet,1219.2,82.58
taiwan,國姓鄉 guoshing township,2016,typica,pulped natural-honey,1050.0,82.58
indonesia,aceh,2015,typica,semi-washed-semi-pulped,1250.0,82.58
thailand,chiangrai,2014,caturra,washed-wet,1450.0,82.58
"tanzania, united republic of",ikand village,2014,other,washed-wet,1317.0,82.58
uganda,eastern,2013,sl14,natural-dry,1650.0,82.58
costa rica,central valley,2013,catuai,washed-wet,1300.0,82.58
colombia,huila,2013,caturra,washed-wet,1750.0,82.58
colombia,huila,2012,caturra,washed-wet,1750.0,82.58
colombia,huila,2013,caturra,washed-wet,1750.0,82.58
mexico,oaxaca,2012,typica,washed-wet,1250.0,82.58
mexico,colima,2012,typica,washed-wet,1150.0,82.58
colombia,huila,2012,caturra,washed-wet,1775.0,82.58
brazil,south of minas,2011,mundo novo,,975.0,82.58
brazil,south of minas,2017,bourbon,natural-dry,890.0,82.5
indonesia,bali,2017,other,washed-wet,1250.0,82.5
honduras,comayagua,2017,caturra,washed-wet,1400.0,82.5
guatemala,oriente,2016,bourbon,washed-wet,1219.2,82.5
thailand,chiangrai,2014,caturra,washed-wet,1450.0,82.5
"tanzania, united republic of",karatu arusha,2014,other,washed-wet,1600.0,82.5
"tanzania, united republic of",moshi,2014,other,washed-wet,,82.5
mexico,chiapas,2013,other,washed-wet,1600.0,82.5
brazil,south of minas,2013,yellow bourbon,semi-washed-semi-pulped,1260.0,82.5
guatemala,oriente,2013,bourbon,washed-wet,1310.64,82.5
colombia,huila,2013,caturra,washed-wet,1750.0,82.5
guatemala,oriente,2013,bourbon,washed-wet,1310.64,82.5
mexico,san bartolo tutotepec,2012,typica,washed-wet,1679.0,82.5
mexico,zapotitlan de mendez,2012,typica,washed-wet,1100.0,82.5
mexico,la concordia,2012,typica,semi-washed-semi-pulped,1650.0,82.5
guatemala,oriente,2012,caturra,natural-dry,,82.5
brazil,carmo de minas,2012,bourbon,semi-washed-semi-pulped,1250.0,82.5
colombia,huila,2012,caturra,washed-wet,1775.0,82.5
united states (hawaii),kona,2012,hawaiian kona,washed-wet,,82.5
honduras,"comayagua, honduras",2017,other,washed-wet,1500.0,82.42
guatemala,san marcos,2017,bourbon,washed-wet,1700.0,82.42
guatemala,san marcos,2016,bourbon,washed-wet,1700.0,82.42
guatemala,santa rosa,2017,caturra,washed-wet,,82.42
colombia,guayata,2016,caturra,washed-wet,1600.0,82.42
china,yunnan,2015,catimor,washed-wet,1600.0,82.42
guatemala,atitlan,2013,caturra,washed-wet,1400.0,82.42
mexico,la yerba,2014,typica,washed-wet,1296.0,82.42
brazil,south of minas,2012,catuai,semi-washed-semi-pulped,1000.0,82.42
brazil,south of minas,2013,yellow bourbon,natural-dry,1260.0,82.42
mexico,veracruz,2013,bourbon,washed-wet,1170.0,82.42
colombia,huila,2013,caturra,washed-wet,1775.0,82.42
mexico,chiapas,2013,typica,washed-wet,1560.0,82.42
mexico,san pedro cotzilnam,2012,typica,semi-washed-semi-pulped,1400.0,82.42
mexico,coatepec,2012,typica,washed-wet,1300.0,82.42
mexico,xalapa,2012,caturra,washed-wet,1170.0,82.42
mexico,zihuatanejo de azueta,2012,typica,washed-wet,1300.0,82.42
mexico,xicotepec de juarez,2012,caturra,washed-wet,1150.0,82.42
mexico,progreso santa rosa teocelo,2012,bourbon,washed-wet,1250.0,82.42
mexico,fln mirador,2012,typica,washed-wet,1450.0,82.42
colombia,huila,2012,caturra,natural-dry,442.0,82.42
colombia,huila,2011,caturra,washed-wet,1750.0,82.42
honduras,comayagua,2017,caturra,washed-wet,1396.0,82.33
brazil,cerrado,2016,catuai,natural-dry,982.0,82.33
brazil,south of minas,2016,bourbon,natural-dry,934.0,82.33
costa rica,tarrazu,2015,caturra,washed-wet,1850.0,82.33
costa rica,tarrazu,2015,catuai,washed-wet,1550.0,82.33
china,xishuangbanna prefecture,2015,catimor,pulped natural-honey,1580.0,82.33
brazil,south of minas,2015,bourbon,natural-dry,1268.0,82.33
brazil,chapadão de ferro (cerrado mineiro),2015,mundo novo,natural-dry,,82.33
guatemala,huehuetenango,2015,bourbon,washed-wet,1676.4,82.33
malawi,mzuzu,2014,gesha,washed-wet,1450.0,82.33
brazil,south of minas,2014,bourbon,natural-dry,1100.0,82.33
guatemala,jalapa,2014,pacas,washed-wet,1524.0,82.33
colombia,antioquia,2013,caturra,washed-wet,1300.0,82.33
taiwan,changhua baguashan 彰化市八卦山,2013,typica,semi-washed-semi-pulped,200.0,82.33
taiwan,taichung xinshe 台中市新社區,2013,typica,washed-wet,600.0,82.33
guatemala,oriente,2013,bourbon,washed-wet,1310.64,82.33
colombia,huila,2013,caturra,washed-wet,1750.0,82.33
mexico,"la concordia, chiapas",2013,typica,washed-wet,1300.0,82.33
guatemala,jalapa,2012,bourbon,washed-wet,1752.6,82.33
mexico,"jaltocan, hidalgo",2012,typica,natural-dry,441.0,82.33
mexico,veracruz,2012,bourbon,washed-wet,1170.0,82.33
guatemala,oriente,2012,bourbon,washed-wet,1310.64,82.33
brazil,grama valley,2012,mundo novo,natural-dry,1100.0,82.33
mexico,santa catarina juquila,2012,typica,washed-wet,1300.0,82.33
brazil,south of minas,2012,mundo novo,washed-wet,950.0,82.33
colombia,huila,2012,caturra,natural-dry,442.0,82.33
brazil,brazil matas de minas,,catuai,washed-wet,1100.0,82.25
guatemala,nuevo oriente,2016,pacas,washed-wet,1450.0,82.25
el salvador,apaneca,2014,bourbon,washed-wet,1500.0,82.25
honduras,marcala,2015,catuai,washed-wet,1350.0,82.25
malawi,mzuzu,2014,gesha,washed-wet,1180.0,82.25
brazil,south of minas,2014,bourbon,natural-dry,1100.0,82.25
taiwan,nantou,2013,typica,washed-wet,650.0,82.25
mexico,veracruz,2013,mundo novo,washed-wet,1338.0,82.25
united states (hawaii),kona,2013,hawaiian kona,natural-dry,,82.25
mexico,"calnali, hidalgo",2012,bourbon,washed-wet,533.0,82.25
guatemala,antigua,2012,bourbon,washed-wet,1390.8024,82.25
mexico,veracruz,2012,bourbon,washed-wet,1170.0,82.25
mexico,juquila,2012,typica,washed-wet,1250.0,82.25
el salvador,,2012,other,washed-wet,,82.25
mexico,veracruz,2012,typica,washed-wet,1100.0,82.25
mexico,canoas,2012,typica,washed-wet,900.0,82.25
colombia,huila,2012,caturra,washed-wet,1750.0,82.25
colombia,huila,2012,caturra,washed-wet,1775.0,82.25
brazil,south of minas,2016,bourbon,natural-dry,934.0,82.17
honduras,comayagua,2015,caturra,washed-wet,1500.0,82.17
"tanzania, united republic of",ruvuma,2015,bourbon,washed-wet,1650.0,82.17
"tanzania, united republic of",northern,2015,other,washed-wet,1600.0,82.17
honduras,marcala,2015,catuai,washed-wet,1350.0,82.17
guatemala,atitlan,2014,bourbon,washed-wet,1500.0,82.17
brazil,cerrado,2014,mundo novo,natural-dry,,82.17
"tanzania, united republic of","ilomba vilage, mbozi",2014,other,washed-wet,1700.0,82.17
mexico,veracruz,2013,other,washed-wet,1100.0,82.17
mexico,"la concordia, chiapas",2013,other,washed-wet,1400.0,82.17
taiwan,yunlin 雲林縣石壁,2013,typica,other,1200.0,82.17
taiwan,"dongshan dist., tainan city 臺南市東山區",2012,typica,washed-wet,800.0,82.17
colombia,huila,2013,caturra,washed-wet,1750.0,82.17
mexico,san bartolo tutotepec,2012,typica,washed-wet,1144.0,82.17
guatemala,oriente,2012,caturra,washed-wet,1350.0,82.17
mexico,altotonga,2012,typica,washed-wet,1000.0,82.17
mexico,colima,2012,typica,washed-wet,1200.0,82.17
indonesia,aceh gayo,2017,bourbon,washed-wet,1300.0,82.08
colombia,huila,2016,caturra,washed-wet,,82.08
brazil,south of minas,2016,bourbon,natural-dry,894.0,82.08
costa rica,tres rios,2015,caturra,washed-wet,1300.0,82.08
"tanzania, united republic of",kilimanjaro,2014,bourbon,washed-wet,1500.0,82.08
"tanzania, united republic of",ngorogoro,2014,other,washed-wet,1600.0,82.08
united states (hawaii),kona,2012,hawaiian kona,natural-dry,,82.08
mexico,coatepec,2012,typica,washed-wet,1300.0,82.08
mexico,tapachula,2012,typica,washed-wet,1800.0,82.08
mexico,coatepec,2012,typica,washed-wet,1250.0,82.08
vietnam,don duong,2012,other,natural-dry,1040.0,82.08
mexico,veracruz,2012,typica,washed-wet,1250.0,82.08
united states (hawaii),kona,2012,hawaiian kona,washed-wet,,82.08
honduras,el paraíso,2017,caturra,washed-wet,1600.0,82.0
honduras,guinope el paraíso,2016,caturra,natural-dry,1600.0,82.0
brazil,south of minas,2016,bourbon,natural-dry,944.0,82.0
"tanzania, united republic of",kilimanjaro,2015,other,washed-wet,1650.0,82.0
laos,lao p.d.r.,2015,other,washed-wet,1250.0,82.0
"tanzania, united republic of",meru,2014,other,washed-wet,1350.0,82.0
malawi,mzuzu,2014,gesha,washed-wet,2500.0,82.0
taiwan,"dongshan dist., tainan city 臺南市東山區",2013,typica,washed-wet,600.0,82.0
costa rica,central valley,2013,catuai,washed-wet,1300.0,82.0
honduras,occidental,2014,caturra,washed-wet,1400.0,82.0
colombia,huila,2013,caturra,washed-wet,1900.0,82.0
taiwan,"dongshan dist., tainan city 臺南市東山區",2012,typica,washed-wet,650.0,82.0
brazil,"minas gerais, br",2012,mundo novo,natural-dry,1038.5,82.0
mexico,coscomatepec,2012,typica,washed-wet,940.0,82.0
brazil,south of minas,2012,mundo novo,natural-dry,1000.0,82.0
brazil,cerrado,2012,catuai,semi-washed-semi-pulped,1050.0,82.0
guatemala,san marcos,2012,bourbon,natural-dry,,82.0
brazil,south of minas,2012,mundo novo,semi-washed-semi-pulped,950.0,82.0
guatemala,oriente,2012,bourbon,washed-wet,1402.08,82.0
colombia,huila,,caturra,,1775.0,82.0
guatemala,oriente,2017,bourbon,washed-wet,1901.0,81.92
guatemala,santa rosa,2017,bourbon,washed-wet,1219.2,81.92
honduras,comayagua,2017,caturra,washed-wet,1400.0,81.92
brazil,monte carmelo,2016,catuai,natural-dry,1020.0,81.92
el salvador,"el balsamo, quezaltepec",2014,bourbon,washed-wet,1250.0,81.92
guatemala,nuevo oriente,2015,catuai,washed-wet,1550.0,81.92
"tanzania, united republic of",mbeya,2014,other,washed-wet,1877.0,81.92
zambia,mubuyu estate,2014,sl28,washed-wet,1250.0,81.92
taiwan,taichung xinshe 台中市新社區,2012,typica,other,1000.0,81.92
mexico,chiapas,2013,bourbon,washed-wet,1300.0,81.92
mexico,"chapulhuacan, hidalgo",2012,typica,semi-washed-semi-pulped,981.0,81.92
mexico,"huazalingo, hidalgo",2012,mundo novo,washed-wet,690.0,81.92
mexico,veracruz,2012,other,washed-wet,1650.0,81.92
mexico,fortín de las flores,2012,bourbon,washed-wet,1000.0,81.92
brazil,grama valley,2012,mundo novo,natural-dry,1100.0,81.92
costa rica,tarrazu,2016,catuai,pulped natural-honey,1900.0,81.83
brazil,monte carmelo,2016,mundo novo,natural-dry,973.0,81.83
indonesia,bali,2015,other,other,1250.0,81.83
guatemala,norte,2015,bourbon,washed-wet,3280.0,81.83
myanmar,ywar ngan,2015,catuai,washed-wet,4001.0,81.83
mexico,chiapas,2015,catuai,washed-wet,1425.0,81.83
honduras,marcala,2015,catuai,washed-wet,1400.0,81.83
costa rica,tres rios,2015,caturra,washed-wet,1300.0,81.83
taiwan,"dongshan dist., tainan city 臺南市東山區",2014,typica,washed-wet,700.0,81.83
indonesia,lington nihuta,2014,typica,other,1300.0,81.83
malawi,kakoma,2014,gesha,washed-wet,1556.0,81.83
brazil,south of minas,2014,bourbon,natural-dry,1100.0,81.83
honduras,comayagua,2014,caturra,natural-dry,1350.0,81.83
mexico,"siltepec el triunfo, chiapas, mexico",2014,typica,washed-wet,1550.0,81.83
colombia,huila,2013,caturra,washed-wet,1775.0,81.83
united states (hawaii),kona,2012,hawaiian kona,natural-dry,,81.83
brazil,sul de minas,2012,bourbon,semi-washed-semi-pulped,1250.0,81.83
guatemala,oriente,2013,bourbon,washed-wet,1310.64,81.83
mexico,veracruz,2012,bourbon,washed-wet,1500.0,81.83
mexico,coatepec,2012,typica,semi-washed-semi-pulped,1250.0,81.83
brazil,cerrado,2011,mundo novo,,925.0,81.83
guatemala,san marcos,2017,bourbon,washed-wet,1700.0,81.75
vietnam,vietnam,2014,caturra,washed-wet,1040.0,81.75
"tanzania, united republic of",ngorogoro,2014,other,washed-wet,1600.0,81.75
mexico,"tenango de doria, hidalgo",2012,bourbon,washed-wet,774.0,81.75
mexico,tepictla,2012,mundo novo,washed-wet,1250.0,81.75
mexico,oaxaca,2012,typica,washed-wet,1100.0,81.75
mexico,la concordia,2012,caturra,washed-wet,1550.0,81.75
mexico,la concordia,2012,typica,washed-wet,1650.0,81.75
colombia,huila,2011,caturra,washed-wet,1750.0,81.75
brazil,south of minas,2017,bourbon,natural-dry,890.0,81.67
guatemala,san marcos,2017,bourbon,washed-wet,1700.0,81.67
guatemala,santa rosa,2017,bourbon,washed-wet,1219.2,81.67
honduras,marcala,2016,catuai,washed-wet,1450.0,81.67
"tanzania, united republic of",mbinga,2014,other,washed-wet,1500.0,81.67
"tanzania, united republic of","ilomba vilage, mbozi",2013,other,washed-wet,1700.0,81.67
brazil,south of minas,2014,bourbon,washed-wet,1260.0,81.67
honduras,comayagua,2014,caturra,natural-dry,1400.0,81.67
costa rica,tarrazu,2013,caturra,washed-wet,1850.0,81.67
taiwan,nantou,2013,typica,washed-wet,750.0,81.67
mexico,"la concordia, chiapas",2013,typica,washed-wet,1400.0,81.67
guatemala,jalapa,2012,bourbon,washed-wet,1752.6,81.67
mexico,tuxtla gutierrez,2012,typica,washed-wet,1650.0,81.67
mexico,yajalon,2012,bourbon,washed-wet,1400.0,81.67
mexico,veracruz,2012,bourbon,washed-wet,1200.0,81.67
mexico,"la concordia, chiapas",2012,bourbon,washed-wet,1400.0,81.67
mexico,"sacún palma, municipio de chilón, chiapas",2012,caturra,semi-washed-semi-pulped,940.0,81.67
united states (hawaii),kona,2012,hawaiian kona,washed-wet,,81.67
honduras,western region,2018,catimor,washed-wet,1200.0,81.58
taiwan,natou county,2016,typica,washed-wet,800.0,81.58
"tanzania, united republic of","oldeani , mongola",2014,other,washed-wet,1800.0,81.58
malawi,mzuzu,2014,gesha,washed-wet,1100.0,81.58
taiwan,natou county,2014,typica,semi-washed-semi-pulped,850.0,81.58
brazil,south of minas,2013,yellow bourbon,washed-wet,1260.0,81.58
guatemala,oriente,2013,bourbon,washed-wet,1310.64,81.58
mexico,"la concordia, chiapas",2013,typica,washed-wet,1400.0,81.58
mexico,la concordia,2012,typica,natural-dry,1650.0,81.58
guatemala,santa rosa,2017,bourbon,washed-wet,1219.2,81.5
nicaragua,jalapa,2017,caturra,other,1100.0,81.5
honduras,comayagua,2017,caturra,washed-wet,1400.0,81.5
guatemala,santa rosa,2017,bourbon,,,81.5
myanmar,ywar ngan township,2015,catuai,washed-wet,1219.2,81.5
costa rica,occidental,2014,caturra,washed-wet,1200.0,81.5
malawi,mzuzu,2014,gesha,washed-wet,1599.0,81.5
guatemala,oriente,2014,other,washed-wet,1219.2,81.5
taiwan,natou county,2014,typica,washed-wet,900.0,81.5
brazil,sul de minas,2014,yellow bourbon,semi-washed-semi-pulped,1200.0,81.5
taiwan,taichung xinshe 台中市新社區,2013,typica,other,600.0,81.5
mexico,"la concordia, chiapas",2013,typica,washed-wet,1150.0,81.5
mexico,amatenango de la frontera,2012,typica,washed-wet,1600.0,81.5
mexico,temaxcalapa,2012,catuai,washed-wet,1100.0,81.5
mexico,manzanillo,2012,typica,semi-washed-semi-pulped,1000.0,81.5
mexico,tapachula,2012,bourbon,washed-wet,1250.0,81.5
mexico,atoyac de alvarez,2012,typica,natural-dry,1100.0,81.5
indonesia,ijen,2012,other,washed-wet,1400.0,81.5
guatemala,oriente,2012,bourbon,washed-wet,,81.5
mexico,veracruz,2017,mundo novo,washed-wet,1100.0,81.42
guatemala,san marcos,2016,catuai,washed-wet,1371.6,81.42
brazil,cerrado,2015,catuai,natural-dry,1100.0,81.42
honduras,marcala,2015,catuai,washed-wet,1400.0,81.42
malawi,mzuzu,2014,gesha,washed-wet,1422.0,81.42
brazil,south of minas,2014,bourbon,natural-dry,1100.0,81.42
guatemala,"san lucas toliman, solola",2014,bourbon,washed-wet,1550.0,81.42
mexico,siltepec el triunfo,2014,typica,washed-wet,1550.0,81.42
guatemala,oriente,2013,bourbon,washed-wet,1310.64,81.42
mexico,"huazalingo, hidalgo",2012,caturra,washed-wet,763.0,81.42
mexico,"coatepec, coatepec",2012,typica,washed-wet,1100.0,81.42
colombia,huila,2011,caturra,natural-dry,1750.0,81.42
colombia,huila,2016,caturra,washed-wet,,81.33
honduras,comayagua,2016,caturra,washed-wet,1500.0,81.33
brazil,cerrado,2015,catuai,natural-dry,1100.0,81.33
honduras,marcala,2015,catuai,washed-wet,1350.0,81.33
brazil,mantiqueira de minas,2014,yellow bourbon,other,1200.0,81.33
philippines,"davao city, region 11",2014,other,washed-wet,1400.0,81.33
malawi,mzuzu,2014,gesha,washed-wet,1200.0,81.33
honduras,san marcos,2014,catuai,washed-wet,1450.0,81.33
mexico,tapachula,2012,typica,washed-wet,1800.0,81.33
mexico,veracruz,2012,typica,washed-wet,1000.0,81.33
brazil,matas de minas        ,,catuai,natural-dry,1100.0,81.33
taiwan,"dongshan dist., tainan city 台南市東山區",2015,typica,natural-dry,680.0,81.25
nicaragua,jinotega,2015,catuai,washed-wet,1100.0,81.25
honduras,marcala,2015,catuai,washed-wet,1400.0,81.25
"tanzania, united republic of",karatu ngorogoro,2014,other,washed-wet,1700.0,81.25
taiwan,nantou,2013,typica,semi-washed-semi-pulped,650.0,81.25
guatemala,"sacatepequez, guatemala",2013,caturra,washed-wet,1524.0,81.25
mexico,motozintla,2012,typica,washed-wet,1500.0,81.25
"tanzania, united republic of","ruvuma, mbinga",2015,bourbon,washed-wet,1050.0,81.17
mexico,"chiapas, jaltenango",2015,caturra,washed-wet,1200.0,81.17
costa rica,tres rios,2015,caturra,washed-wet,1300.0,81.17
honduras,central region,2015,catuai,natural-dry,1450.0,81.17
thailand,chiangrai,2014,caturra,washed-wet,1450.0,81.17
philippines,corillera administrative,2014,typica,natural-dry,1200.0,81.17
"tanzania, united republic of",mbinga,2014,bourbon,washed-wet,1550.0,81.17
malawi,southern- zomba,2014,caturra,washed-wet,995.0,81.17
costa rica,central valley,2014,catuai,washed-wet,1300.0,81.17
brazil,monte carmelo,2013,catuai,natural-dry,,81.17
mexico,tapachula,2012,typica,natural-dry,1800.0,81.17
guatemala,oriente,2012,caturra,washed-wet,1450.0,81.17
brazil,south of minas,2012,mundo novo,natural-dry,1000.0,81.17
brazil,alta paulista (sao paulo),2016,mundo novo,natural-dry,695.0,81.08
nicaragua,jinotega,2015,other,washed-wet,1100.0,81.08
"tanzania, united republic of","iwala village, mbeya rural",2014,other,washed-wet,1456.0,81.08
costa rica,naranjo,2014,caturra,washed-wet,1500.0,81.08
united states (puerto rico),yauco region,2013,other,washed-wet,853.44,81.08
mexico,san fernando,2012,typica,washed-wet,1650.0,81.08
mexico,santo reyes nopala,2012,typica,washed-wet,1300.0,81.08
mexico,santa maria sitepec,2012,typica,washed-wet,1642.0,81.08
mexico,talpa de allende,2012,typica,washed-wet,1200.0,81.08
united states (hawaii),,2012,hawaiian kona,washed-wet,,81.08
brazil,grama valley,,bourbon,pulped natural-honey,,81.0
el salvador,apaneca,2017,bourbon,washed-wet,1450.0,81.0
brazil,grama valley,2016,yellow bourbon,pulped natural-honey,,81.0
guatemala,norte,2016,bourbon,washed-wet,3280.0,81.0
colombia,guayata,2016,caturra,washed-wet,1600.0,81.0
guatemala,oriente,2015,bourbon,washed-wet,1219.2,81.0
taiwan,"dongshan dist., tainan city 臺南市東山區",2015,typica,washed-wet,758.0,81.0
honduras,san marcos,2014,caturra,natural-dry,1350.0,81.0
brazil,cerrado,2014,mundo novo,natural-dry,,81.0
"tanzania, united republic of",arusha,2014,other,washed-wet,1525.0,81.0
uganda,eastern,2013,sl14,natural-dry,1700.0,81.0
taiwan,nantou,2013,typica,semi-washed-semi-pulped,1100.0,81.0
mexico,"motozintla, chiapas",2012,other,washed-wet,950.0,81.0
mexico,adolfo lopez mateos,2012,typica,washed-wet,1100.0,81.0
taiwan,taiwan,2017,other,washed-wet,200.0,80.92
guatemala,oriente,2017,bourbon,washed-wet,1901.0,80.92
kenya,kiambu,2017,sl28,washed-wet,1600.0,80.92
mexico,veracruz,2017,bourbon,washed-wet,1100.0,80.92
myanmar,pyinoolwin,2015,other,other,1066.8,80.92
united states (hawaii),kona,2014,hawaiian kona,natural-dry,,80.92
"tanzania, united republic of","manyara, karatu",2014,other,washed-wet,1700.0,80.92
brazil,mantiqueira de minas,2014,yellow bourbon,natural-dry,1200.0,80.92
taiwan,台中新社,2014,typica,washed-wet,550.0,80.92
brazil,south of minas,2014,bourbon,natural-dry,1100.0,80.92
nicaragua,matagalpa,2013,caturra,washed-wet,1050.0,80.92
guatemala,jalapa,2014,pacas,washed-wet,1524.0,80.92
taiwan,taichung taiping 台中市太平區,2013,typica,washed-wet,900.0,80.92
taiwan,nantou,2013,typica,other,688.0,80.92
taiwan,new taipei zhonghe 新北市中和區,2013,typica,washed-wet,300.0,80.92
mexico,ixhuatlan del cafe,2012,typica,washed-wet,1186.0,80.92
laos,"paksong,laos",2016,catimor,washed-wet,1300.0,80.83
guatemala,orient,2013,caturra,washed-wet,1200.0,80.83
mexico,motozintla,2012,catuai,semi-washed-semi-pulped,1210.0,80.83
mexico,oaxaca,2012,typica,washed-wet,1100.0,80.83
united states (hawaii),kona,2012,hawaiian kona,washed-wet,,80.83
myanmar,ywar ngan,2015,catuai,washed-wet,3825.0,80.75
guatemala,huehuetenango,2015,caturra,washed-wet,1706.88,80.75
honduras,"siguatepeque, comayagua",2015,caturra,natural-dry,1450.0,80.75
panama,boquete,2014,caturra,other,1680.0,80.75
honduras,marcala,2015,catuai,washed-wet,1350.0,80.75
honduras,central region,2015,catuai,natural-dry,1450.0,80.75
costa rica,san ramon,2014,caturra,washed-wet,1300.0,80.75
mexico,oaxaca,2012,typica,washed-wet,1200.0,80.75
haiti,haiti,2012,typica,washed-wet,1000.0,80.75
taiwan,taiwan,2016,typica,other,,80.67
guatemala,antigua,2015,bourbon,washed-wet,1500.0,80.67
malawi,southern- zomba,2014,caturra,washed-wet,995.0,80.67
mexico,"el desmoronado, talpan de allende jalisco",2014,typica,washed-wet,1200.0,80.67
colombia,santander,2014,caturra,natural-dry,1550.0,80.67
guatemala,"san lucas toliman, solola",2013,bourbon,washed-wet,1550.0,80.67
guatemala,oriente,2012,bourbon,washed-wet,,80.67
guatemala,oriente,2012,bourbon,washed-wet,,80.67
"tanzania, united republic of",arusha,2014,other,washed-wet,1400.0,80.58
brazil,south of minas,2014,bourbon,semi-washed-semi-pulped,1200.0,80.58
honduras,occidental,2014,caturra,washed-wet,1400.0,80.58
guatemala,huehuetenango,2014,bourbon,natural-dry,1383.792,80.58
guatemala,santa rosa,2017,caturra,washed-wet,1500.0,80.5
honduras,ocotepeque,2017,catuai,washed-wet,1650.0,80.5
brazil,vale da grama,2015,yellow bourbon,semi-washed-semi-pulped,1250.0,80.5
myanmar,pyin oo lwin,2015,other,washed-wet,3800.0,80.5
guatemala,oriente,2014,other,washed-wet,1219.2,80.5
brazil,mantiqueira de minas,2013,yellow bourbon,semi-washed-semi-pulped,1250.0,80.5
united states (hawaii),kona,2013,hawaiian kona,natural-dry,,80.5
guatemala,huehuetenango,2013,bourbon,washed-wet,1859.28,80.5
mexico,zaragoza itundujia,2012,typica,washed-wet,1450.0,80.5
taiwan,南投國姓,2014,typica,washed-wet,600.0,80.42
el salvador,"department of ahuachapan, municipality of apanecallamatepec mountain",2013,bourbon,washed-wet,1450.0,80.42
china,yunnan,2013,other,washed-wet,1700.0,80.42
taiwan,nantou,2013,typica,washed-wet,600.0,80.42
mexico,pochutla,2012,typica,washed-wet,1050.0,80.42
mexico,la concordia,2012,caturra,washed-wet,1550.0,80.42
"tanzania, united republic of",mkuu rombo,2015,bourbon,washed-wet,1700.0,80.33
"tanzania, united republic of",arusha,2014,other,washed-wet,,80.33
taiwan,taichung xinshe 台中市新社區,2013,yellow bourbon,other,600.0,80.33
guatemala,oriente,2013,bourbon,washed-wet,1310.64,80.33
mexico,chilón,2012,typica,semi-washed-semi-pulped,940.0,80.33
united states (hawaii),kona,2012,hawaiian kona,washed-wet,,80.33
brazil,cerrado - monte carmelo - minas gerais,2017,catuai,natural-dry,995.0,80.25
honduras,comayagua,2016,caturra,natural-dry,1400.0,80.25
